School Name,Niche Rank,Number of Students,Number of Seniors,Proportion interested in UT,Number of Seniors interested
Gary School,942,490,122.5,0.088709677,10.86693548
Chillicothe High School,943,202,50.5,0.068181818,3.443181818
Cuero High School,944,615,153.75,0.086614173,13.31692913
Anthony High School,945,239,59.75,0.099125364,5.922740525
Gorman High School,946,90,22.5,0.062015504,1.395348837
Del Rio Early College H S,947,454,113.5,0.12267658,13.92379182
Nixon-Smiley High School,948,295,73.75,0.135531136,9.995421245
Premier High School of Pharr,949,85,21.25,0.078431373,1.666666667
Southwest Preparatory School - New Directions Campus,950,113,28.25,0.14,3.955
West Sabine High School,951,304,76,0.082278481,6.253164557
Krum High School,952,635,158.75,0.100806452,16.00302419
Blanson Cte H.S.,953,1295,323.75,0.118081181,38.22878229
Central High School,954,393,98.25,0.079207921,7.782178218
Cooper High School,955,231,57.75,0.062730627,3.622693727
Utpb STEM Academy,956,769,192.25,0.181818182,34.95454545
Meridian High School,957,232,58,0.109375,6.34375
DaVinci School for Science & The Arts,958,537,134.25,0.123552124,16.58687259
Idea College Prep Weslaco,959,770,192.5,0.088911089,17.11538462
North Zulch Elementary/Secondary School,960,300,75,0.100806452,7.560483871
Slidell Schools,961,313,78.25,0.072072072,5.63963964
Granbury High School,962,2029,507.25,0.111575179,56.59650955
Pilot Point High School,963,425,106.25,0.101204819,10.75301205
Life School - Waxahachie High,964,944,236,0.117346939,27.69387755
Beckville Junior/Senior High School,965,354,88.5,0.066666667,5.9
Uplift Luna Preparatory - High School,966,475,118.75,0.112,13.3
Maud School,967,477,119.25,0.075396825,8.991071429
Wink High School,968,202,50.5,0.120805369,6.100671141
Northeast Early College H.S.,969,1139,284.75,0.183040331,52.12073423
Cherokee School,970,106,26.5,0.089108911,2.361386139
Bruceville-Eddy High School,971,209,52.25,0.090592334,4.733449477
Highland Park High School,972,242,60.5,0.094043887,5.689655172
Comanche High School,973,345,86.25,0.065656566,5.662878788
Bridgeport High School,974,616,154,0.101338432,15.60611855
Era School,975,479,119.75,0.083333333,9.979166667
Moody High School,976,1628,407,0.122112211,49.69966997
Rusk High School,977,602,150.5,0.088709677,13.35080645
Spring Branch Independent School District,978,35188,8797,0.183790965,1616.809123
Onalaska Junior/Senior High School,979,464,116,0.101010101,11.71717172
Tidehaven High School,980,279,69.75,0.102209945,7.129143646
Economedes High School,981,2744,686,0.11884058,81.52463768
Mart High School,982,221,55.25,0.089285714,4.933035714
Canutillo High School,983,1534,383.5,0.10656,40.86576
Wortham High School,984,137,34.25,0.109589041,3.753424658
Van Vleck High School,985,330,82.5,0.111111111,9.166666667
Godley High School,986,619,154.75,0.104046243,16.10115607
North Hopkins High School,987,233,58.25,0.102325581,5.960465116
Buckholts School,988,125,31.25,0.129032258,4.032258065
Lamar Consolidated High School,989,1801,450.25,0.156405164,70.42142502
Friona High School,990,310,77.5,0.063492063,4.920634921
Booker Junior High/High School,991,175,43.75,0.049382716,2.160493827
Aquilla School,992,337,84.25,0.094827586,7.989224138
Odyssey Academy,993,934,233.5,0.136986301,31.98630137
Pewitt High School,994,242,60.5,0.130434783,7.891304348
Three Rivers Jr./Sr. High School,995,299,74.75,0.109965636,8.219931271
Options High School,996,114,28.5,0.105263158,3
Lyford High School,997,483,120.75,0.11031665,13.32073544
IDEA Brownsville College Preparatory,998,759,189.75,0.114331723,21.69444444
Mineral Wells High School,999,786,196.5,0.123178808,24.20463576
George Bush High School,1000,2514,628.5,0.14898329,93.63599758
